hour,from_station,to_station,line,direction,passenger_count,capacity_utilization_percent
5,204,154,4,backward,42,0.3
5,204,205,4,forward,288,2.06
5,205,203,4,forward,1512,10.8
5,205,204,4,backward,105,0.75
5,206,202,4,backward,210,1.5
5,206,207,4,forward,2250,16.07
5,207,206,4,backward,372,2.66
5,207,208,4,forward,2580,18.43
5,208,127,4,forward,2631,18.79
5,208,207,4,backward,363,2.59
5,209,127,4,backward,888,6.34
5,209,210,4,forward,4185,29.89
5,210,209,4,backward,1080,7.71
5,210,211,4,forward,4137,29.55
5,211,210,4,backward,1158,8.27
5,211,212,4,forward,1947,13.91
5,212,108,4,forward,1713,12.24
5,212,211,4,backward,1800,12.86
5,216,135,4,backward,2811,20.08
5,216,217,4,forward,186,1.33
5,217,216,4,backward,3045,21.75
5,217,218,4,forward,201,1.44
5,218,217,4,backward,2649,18.92
5,218,219,4,forward,171,1.22
5,219,218,4,backward,2328,16.63
5,219,220,4,forward,153,1.09
5,220,219,4,backward,606,4.33
5,220,221,4,forward,75,0.54
5,221,220,4,backward,249,1.78
5,153,154,5,forward,243,3.38
5,154,153,5,backward,3534,49.08
5,154,155,5,forward,147,2.04
5,155,154,5,backward,4206,58.42
5,155,156,5,forward,144,2.0
5,156,155,5,backward,4227,58.71
5,156,157,5,forward,129,1.79
5,157,156,5,backward,4251,59.04
5,157,158,5,forward,114,1.58
5,158,157,5,backward,4227,58.71
5,158,159,5,forward,81,1.12
5,159,158,5,backward,4110,57.08
5,159,160,5,forward,78,1.08
5,160,159,5,backward,4062,56.42
5,160,161,5,forward,78,1.08
5,161,160,5,backward,4038,56.08
5,161,162,5,forward,51,0.71
5,162,161,5,backward,2538,35.25
5,162,163,5,forward,39,0.54
5,163,162,5,backward,2403,33.38
5,164,163,5,backward,60,0.83
5,106,185,6,forward,723,12.91
5,106,61,6,backward,435,7.77
5,136,216,6,backward,345,6.16
5,136,61,6,forward,1152,20.57
5,185,106,6,backward,843,15.05
5,185,63,6,forward,354,6.32
5,216,136,6,forward,999,17.84
5,216,59,6,backward,231,4.12
5,232,64,6,backward,1239,22.12
5,232,65,6,forward,198,3.54
5,242,57,6,backward,48,0.86
5,242,59,6,forward,882,15.75
5,54,55,6,forward,117,2.09
5,55,54,6,backward,15,0.27
5,55,56,6,forward,324,5.79
5,56,55,6,backward,24,0.43
5,56,57,6,forward,558,9.96
5,57,242,6,forward,816,14.57
5,57,56,6,backward,45,0.8
5,59,216,6,forward,1047,18.7
5,59,242,6,backward,252,4.5
5,61,106,6,forward,1161,20.73
5,61,136,6,backward,411,7.34
5,63,185,6,backward,1143,20.41
5,63,64,6,forward,336,6.0
5,64,232,6,forward,294,5.25
5,64,63,6,backward,1224,21.86
5,65,232,6,backward,1158,20.68
5,65,66,6,forward,183,3.27
5,66,65,6,backward,1152,20.57
5,66,67,6,forward,165,2.95
5,67,66,6,backward,1107,19.77
5,67,68,6,forward,153,2.73
5,68,67,6,backward,1038,18.54
5,68,69,6,forward,75,1.34
5,69,68,6,backward,894,15.96
5,69,70,6,forward,63,1.12
5,70,69,6,backward,780,13.93
5,70,71,6,forward,60,1.07
5,71,70,6,backward,582,10.39
5,71,72,6,forward,48,0.86
5,72,71,6,backward,465,8.3
5,72,73,6,forward,6,0.11
5,73,72,6,backward,231,4.12
5,73,74,6,forward,6,0.11
5,74,73,6,backward,66,1.18
5,114,241,7,forward,198,3.54
5,114,247,7,backward,147,2.62
5,128,209,7,backward,645,11.52
5,128,234,7,forward,192,3.43
5,209,128,7,forward,177,3.16
5,209,233,7,backward,504,9.0
5,225,226,7,forward,48,0.86
5,226,225,7,backward,69,1.23
5,226,228,7,forward,144,2.57
5,228,226,7,backward,210,3.75
5,228,230,7,forward,183,3.27
5,230,228,7,backward,393,7.02
5,230,231,7,forward,183,3.27
5,231,230,7,backward,456,8.14
5,231,232,7,forward,180,3.21
5,232,231,7,backward,459,8.2
5,232,233,7,forward,135,2.41
5,233,209,7,forward,207,3.7
5,233,232,7,backward,465,8.3
5,234,128,7,backward,501,8.95
5,234,236,7,forward,237,4.23
5,236,234,7,backward,456,8.14
5,236,237,7,forward,399,7.12
5,237,236,7,backward,300,5.36
5,237,238,7,forward,453,8.09
5,238,237,7,backward,237,4.23
5,238,247,7,forward,486,8.68
5,239,241,7,backward,303,5.41
5,239,242,7,forward,165,2.95
5,241,114,7,backward,318,5.68
5,241,239,7,forward,192,3.43
5,242,239,7,backward,267,4.77
5,242,243,7,forward,36,0.64
5,243,242,7,backward,444,7.93
5,243,244,7,forward,33,0.59
5,244,243,7,backward,336,6.0
5,244,245,7,forward,30,0.54
5,245,244,7,backward,246,4.39
5,247,114,7,forward,468,8.36
5,247,238,7,backward,162,2.89
6,100,101,1,forward,2853,33.96
6,100,99,1,backward,4350,31.07
6,101,100,1,backward,4710,33.64
6,101,102,1,forward,2844,33.86
6,102,101,1,backward,5526,39.47
6,102,103,1,forward,2856,34.0
6,103,102,1,backward,5688,40.63
6,103,104,1,forward,3177,37.82
6,104,103,1,backward,7308,52.2
6,104,105,1,forward,3093,36.82
6,105,104,1,backward,9294,66.39
6,105,106,1,forward,3066,36.5
6,106,105,1,backward,10731,76.65
6,106,107,1,forward,2814,33.5
6,107,106,1,backward,12348,88.2
6,107,108,1,forward,2445,29.11
6,108,107,1,backward,13461,96.15
6,108,109,1,forward,2385,28.39
6,109,108,1,backward,12717,90.84
6,109,132,1,forward,2562,30.5
6,110,91,1,backward,237,1.69
6,111,110,1,backward,225,1.61
6,112,113,1,forward,1992,23.71
6,112,132,1,backward,14526,103.76
6,113,112,1,backward,14799,105.71
6,113,114,1,forward,1581,18.82
6,114,113,1,backward,14991,107.08
6,114,115,1,forward,1503,17.89
6,115,114,1,backward,14733,105.24
6,115,116,1,forward,1476,17.57
6,116,115,1,backward,14544,103.89
6,116,117,1,forward,1338,15.93
6,117,116,1,backward,13080,93.43
6,117,118,1,forward,1281,15.25
6,118,117,1,backward,11706,83.61
6,118,119,1,forward,1233,14.68
6,119,118,1,backward,9627,68.76
6,119,120,1,forward,1101,13.11
6,120,119,1,backward,7875,56.25
6,120,121,1,forward,759,9.04
6,121,120,1,backward,2406,17.19
6,121,122,1,forward,684,8.14
6,122,121,1,backward,2388,17.06
6,122,123,1,forward,507,6.04
6,123,122,1,backward,1353,9.66
6,123,92,1,forward,483,5.75
6,132,109,1,backward,12804,91.46
6,132,112,1,forward,2535,30.18
6,91,110,1,forward,12,0.14
6,91,92,1,backward,237,1.69
6,92,123,1,backward,954,6.81
6,92,91,1,forward,12,0.14
6,95,96,1,forward,555,6.61
6,96,95,1,backward,1359,9.71
6,96,97,1,forward,954,11.36
6,97,96,1,backward,2028,14.49
6,97,98,1,forward,1230,14.64
6,98,97,1,backward,2637,18.84
6,98,99,1,forward,1842,21.93
6,99,100,1,forward,2070,24.64
6,99,98,1,backward,3492,24.94
6,125,126,2,forward,11688,83.49
6,125,153,2,backward,2718,19.41
6,126,125,2,backward,2925,20.89
6,126,127,2,forward,12393,88.52
6,127,126,2,backward,3207,22.91
6,127,128,2,forward,7785,55.61
6,128,127,2,backward,5199,37.14
6,128,129,2,forward,7197,51.41
6,129,128,2,backward,5676,40.54
6,129,130,2,forward,7719,55.14
6,130,129,2,backward,5514,39.39
6,130,131,2,forward,7572,54.09
6,131,130,2,backward,5634,40.24
6,131,132,2,forward,7209,51.49
6,132,131,2,backward,5925,42.32
6,132,133,2,forward,3453,24.66
6,133,132,2,backward,8496,60.69
6,133,134,2,forward,3255,23.25
6,134,133,2,backward,8607,61.48
6,134,135,2,forward,2709,19.35
6,135,134,2,backward,9213,65.81
6,135,136,2,forward,2955,21.11
6,136,135,2,backward,9237,65.98
6,136,137,2,forward,2649,18.92
6,137,136,2,backward,11388,81.34
6,137,138,2,forward,2748,19.63
6,138,137,2,backward,10752,76.8
6,138,139,2,forward,3123,22.31
6,139,138,2,backward,9072,64.8
6,139,140,2,forward,3201,22.86
6,140,139,2,backward,8196,58.54
6,140,141,2,forward,2973,21.24
6,141,140,2,backward,7599,54.28
6,141,142,2,forward,2712,19.37
6,142,141,2,backward,6582,47.01
6,142,143,2,forward,2469,17.64
6,143,142,2,backward,5727,40.91
6,143,144,2,forward,2271,16.22
6,144,143,2,backward,4770,34.07
6,144,145,2,forward,1866,13.33
6,145,144,2,backward,3234,23.1
6,153,125,2,forward,10986,78.47
6,104,182,3,backward,5517,45.98
6,104,183,3,forward,3963,33.02
6,170,171,3,forward,519,4.32
6,171,170,3,backward,258,2.15
6,171,172,3,forward,1317,10.97
6,172,171,3,backward,576,4.8
6,172,175,3,forward,1686,14.05
6,175,172,3,backward,1512,12.6
6,175,176,3,forward,2535,21.12
6,176,175,3,backward,2517,20.97
6,176,177,3,forward,2871,23.93
6,177,176,3,backward,2784,23.2
6,177,178,3,forward,3108,25.9
6,178,177,3,backward,3081,25.67
6,178,179,3,forward,3435,28.62
6,179,178,3,backward,3606,30.05
6,179,180,3,forward,4338,36.15
6,180,179,3,backward,3777,31.47
6,180,181,3,forward,5001,41.68
6,181,180,3,backward,3735,31.13
6,181,182,3,forward,5115,42.62
6,182,104,3,forward,5022,41.85
6,182,181,3,backward,4662,38.85
6,183,104,3,backward,9285,77.38
6,183,184,3,forward,3135,26.12
6,184,183,3,backward,12729,106.08
6,184,185,3,forward,3006,25.05
6,185,184,3,backward,13509,112.58
6,185,211,3,forward,2205,18.38
6,186,211,3,backward,14481,120.67
6,186,247,3,forward,570,4.75
6,188,189,3,forward,627,5.22
6,188,247,3,backward,14124,117.7
6,189,188,3,backward,12813,106.77
6,189,190,3,forward,648,5.4
6,190,189,3,backward,11943,99.52
6,190,191,3,forward,633,5.27
6,191,190,3,backward,9582,79.85
6,191,192,3,forward,513,4.28
6,192,191,3,backward,7866,65.55
6,192,193,3,forward,441,3.67
6,193,192,3,backward,7062,58.85
6,193,194,3,forward,240,2.0
6,194,193,3,backward,5232,43.6
6,211,185,3,backward,15018,125.15
6,211,186,3,forward,792,6.6
6,247,186,3,backward,14073,117.27
6,247,188,3,forward,582,4.85
6,108,135,4,forward,2241,16.01
6,108,212,4,backward,10143,72.45
6,127,208,4,backward,2610,18.64
6,127,209,4,forward,15597,111.41
6,135,108,4,backward,13389,95.64
6,135,216,4,forward,1683,12.02
6,154,201,4,backward,27,0.19
6,154,204,4,forward,306,2.19
6,201,154,4,forward,1197,8.55
6,202,203,4,backward,1308,9.34
6,202,206,4,forward,6441,46.01
6,203,202,4,forward,6438,45.99
6,203,205,4,backward,1182,8.44
6,204,154,4,backward,171,1.22
6,204,205,4,forward,1551,11.08
6,205,203,4,forward,6465,46.18
6,205,204,4,backward,528,3.77
6,206,202,4,backward,1320,9.43
6,206,207,4,forward,8160,58.29
6,207,206,4,backward,2391,17.08
6,207,208,4,forward,9126,65.19
6,208,127,4,forward,9510,67.93
6,208,207,4,backward,2496,17.83
6,209,127,4,backward,4644,33.17
6,209,210,4,forward,15018,107.27
6,210,209,4,backward,5589,39.92
6,210,211,4,forward,14697,104.98
6,211,210,4,backward,6066,43.33
6,211,212,4,forward,7794,55.67
6,212,108,4,forward,5772,41.23
6,212,211,4,backward,8736,62.4
6,216,135,4,backward,12933,92.38
6,216,217,4,forward,876,6.26
6,217,216,4,backward,14193,101.38
6,217,218,4,forward,930,6.64
6,218,217,4,backward,12000,85.71
6,218,219,4,forward,762,5.44
6,219,218,4,backward,10176,72.69
6,219,220,4,forward,720,5.14
6,220,219,4,backward,4830,34.5
6,220,221,4,forward,339,2.42
6,221,220,4,backward,2010,14.36
6,153,154,5,forward,1086,15.08
6,154,153,5,backward,11007,152.88
6,154,155,5,forward,858,11.92
6,155,154,5,backward,10959,152.21
6,155,156,5,forward,849,11.79
6,156,155,5,backward,10863,150.88
6,156,157,5,forward,774,10.75
6,157,156,5,backward,10569,146.79
6,157,158,5,forward,696,9.67
6,158,157,5,backward,10305,143.12
6,158,159,5,forward,480,6.67
